k,cum_evr,recon_mse
1,0.04383154246312521,0.9561684575369099
2,0.07367134688551219,0.926328653114522
3,0.09879007047842892,0.9012099295216043
4,0.12137637651935212,0.8786236234806801
5,0.14000662378190887,0.8599933762181228
6,0.15711164917947343,0.8428883508205576
7,0.17350591812164637,0.826494081878384
8,0.18867208782066278,0.811327912179367
9,0.20250520325009186,0.7974947967499374
10,0.21593257678817382,0.784067423211855
11,0.2286323525324709,0.7713676474675575
12,0.24108329749245866,0.7589167025075693
13,0.2530727666249233,0.7469272333751041
14,0.26481228691425995,0.735187713085767
15,0.27642608337396596,0.7235739166260605
16,0.28786232860765193,0.7121376713923742
17,0.2991558410140884,0.7008441589859373
18,0.3104081517668492,0.689591848233176
19,0.3213673180806526,0.6786326819193722
20,0.3322752139189116,0.6677247860811127
21,0.34298161379593245,0.6570183862040917
22,0.353585277909475,0.6464147220905486
23,0.36407521708519197,0.6359247829148313
24,0.37451435242500114,0.6254856475750218
25,0.38489432769266163,0.6151056723073609
26,0.39525746051576083,0.6047425394842614
27,0.4055900403411638,0.5944099596588579
28,0.4158517571772823,0.584148242822739
29,0.42606193408133264,0.5739380659186885
30,0.4362200075909124,0.5637799924091081
31,0.44633953451860237,0.5536604654814179
32,0.4564100554700303,0.5435899445299897
33,0.46643810774391103,0.5335618922561085
34,0.47643204093744856,0.5235679590625707
35,0.4863810721278218,0.513618927872197
36,0.4962991074479753,0.5037008925520432
37,0.506182779976907,0.4938172200231111
38,0.5160247402414521,0.4839752597585656
39,0.5258313771843443,0.474168622815673
40,0.5356082198871849,0.464391780112832
41,0.5453160623657074,0.45468393763430914
42,0.5550067874219091,0.44499321257810714
43,0.564664696373546,0.43533530362646994
44,0.5743178307514769,0.42568216924853863
45,0.5839657318960352,0.41603426810398
46,0.5936082394550967,0.4063917605449181
47,0.6032463366216521,0.3967536633783623
48,0.6128796982386454,0.3871203017613686
49,0.6225095528650546,0.3774904471349591
50,0.6321348523803241,0.36786514761968936
51,0.6417539983302402,0.35824600166977283
52,0.651372493316504,0.34862750668350867
53,0.6609887408469778,0.33901125915303465
54,0.670599240082261,0.329400759917751
55,0.6802006281487695,0.31979937185124213
56,0.689791252800078,0.31020874719993324
57,0.6993685107021979,0.30063148929781314
58,0.7089317489983217,0.291068251001689
59,0.7184819074636088,0.28151809253640153
60,0.727999335550936,0.27200066444907406
